Level,Max HP,Max MP,Attack,Defense,Magical Attack,Magical Defense,Agility,Luck
1,140,30,34,37,28,26,30,32
2,165,40,36,39,29,26.5,31.5,33.5
3,190,50,38,41,30,27,33,35
4,215,60,40,43,31,27.5,34.5,36.5
5,240,70,42,45,32,28,36,38
6,265,80,44,47,33,28.5,37.5,39.5
7,290,90,46,49,34,29,39,41
8,315,100,48,51,35,29.5,40.5,42.5
9,340,110,50,53,36,30,42,44
10,365,120,52,55,37,30.5,43.5,45.5
11,390,130,54,57,38,31,45,47
12,415,140,56,59,39,31.5,46.5,48.5
13,440,150,58,61,40,32,48,50
14,465,160,60,63,41,32.5,49.5,51.5
15,490,170,62,65,42,33,51,53
16,515,180,64,67,43,33.5,52.5,54.5
17,540,190,66,69,44,34,54,56
18,565,200,68,71,45,34.5,55.5,57.5
19,590,210,70,73,46,35,57,59
20,615,220,72,75,47,35.5,58.5,60.5
21,640,230,74,77,48,36,60,62
22,665,240,76,79,49,36.5,61.5,63.5
23,690,250,78,81,50,37,63,65
24,715,260,80,83,51,37.5,64.5,66.5
25,740,270,82,85,52,38,66,68
26,765,280,84,87,53,38.5,67.5,69.5
27,790,290,86,89,54,39,69,71
28,815,300,88,91,55,39.5,70.5,72.5
29,840,310,90,93,56,40,72,74
30,865,320,92,95,57,40.5,73.5,75.5
31,890,330,94,97,58,41,75,77
32,915,340,96,99,59,41.5,76.5,78.5
33,940,350,98,101,60,42,78,80
34,965,360,100,103,61,42.5,79.5,81.5
35,990,370,102,105,62,43,81,83
36,1015,380,104,107,63,43.5,82.5,84.5
37,1040,390,106,109,64,44,84,86
38,1065,400,108,111,65,44.5,85.5,87.5
39,1090,410,110,113,66,45,87,89
40,1115,420,112,115,67,45.5,88.5,90.5
41,1140,430,114,117,68,46,90,92
42,1165,440,116,119,69,46.5,91.5,93.5
43,1190,450,118,121,70,47,93,95
44,1215,460,120,123,71,47.5,94.5,96.5
45,1240,470,122,125,72,48,96,98
46,1265,480,124,127,73,48.5,97.5,99.5
47,1290,490,126,129,74,49,99,101
48,1315,500,128,131,75,49.5,100.5,102.5
49,1340,510,130,133,76,50,102,104
50,1365,520,132,135,77,50.5,103.5,105.5
51,1390,530,134,137,78,51,105,107
52,1415,540,136,139,79,51.5,106.5,108.5
53,1440,550,138,141,80,52,108,110
54,1465,560,140,143,81,52.5,109.5,111.5
55,1490,570,142,145,82,53,111,113
56,1515,580,144,147,83,53.5,112.5,114.5
57,1540,590,146,149,84,54,114,116
58,1565,600,148,151,85,54.5,115.5,117.5
59,1590,610,150,153,86,55,117,119
60,1615,620,152,155,87,55.5,118.5,120.5
61,1640,630,154,157,88,56,120,122
62,1665,640,156,159,89,56.5,121.5,123.5
63,1690,650,158,161,90,57,123,125
64,1715,660,160,163,91,57.5,124.5,126.5
65,1740,670,162,165,92,58,126,128
66,1765,680,164,167,93,58.5,127.5,129.5
67,1790,690,166,169,94,59,129,131
68,1815,700,168,171,95,59.5,130.5,132.5
69,1840,710,170,173,96,60,132,134
70,1865,720,172,175,97,60.5,133.5,135.5
71,1890,730,174,177,98,61,135,137
72,1915,740,176,179,99,61.5,136.5,138.5
73,1940,750,178,181,100,62,138,140
74,1965,760,180,183,101,62.5,139.5,141.5
75,1990,770,182,185,102,63,141,143
76,2015,780,184,187,103,63.5,142.5,144.5
77,2040,790,186,189,104,64,144,146
78,2065,800,188,191,105,64.5,145.5,147.5
79,2090,810,190,193,106,65,147,149
80,2115,820,192,195,107,65.5,148.5,150.5
81,2140,830,194,197,108,66,150,152
82,2165,840,196,199,109,66.5,151.5,153.5
83,2190,850,198,201,110,67,153,155
84,2215,860,200,203,111,67.5,154.5,156.5
85,2240,870,202,205,112,68,156,158
86,2265,880,204,207,113,68.5,157.5,159.5
87,2290,890,206,209,114,69,159,161
88,2315,900,208,211,115,69.5,160.5,162.5
89,2340,910,210,213,116,70,162,164
90,2365,920,212,215,117,70.5,163.5,165.5
91,2390,930,214,217,118,71,165,167
92,2415,940,216,219,119,71.5,166.5,168.5
93,2440,950,218,221,120,72,168,170
94,2465,960,220,223,121,72.5,169.5,171.5
95,2490,970,222,225,122,73,171,173
96,2515,980,224,227,123,73.5,172.5,174.5
97,2540,990,226,229,124,74,174,176
98,2565,1000,228,231,125,74.5,175.5,177.5
99,2590,1010,230,233,126,75,177,179
100,2615,1020,232,235,127,75.5,178.5,180.5
101,2640,1030,234,237,128,76,180,182
102,2665,1040,236,239,129,76.5,181.5,183.5
103,2690,1050,238,241,130,77,183,185
104,2715,1060,240,243,131,77.5,184.5,186.5
105,2740,1070,242,245,132,78,186,188
106,2765,1080,244,247,133,78.5,187.5,189.5
107,2790,1090,246,249,134,79,189,191
108,2815,1100,248,251,135,79.5,190.5,192.5
109,2840,1110,250,253,136,80,192,194
110,2865,1120,252,255,137,80.5,193.5,195.5
