Level,Max HP,Max MP,Attack,Defense,Magical Attack,Magical Defense,Agility,Luck
1,120,35,30,32,30,30,34,36
2,140,50,31.5,33.5,31,31,36,38
3,160,65,33,35,32,32,38,40
4,180,80,34.5,36.5,33,33,40,42
5,200,95,36,38,34,34,42,44
6,220,110,37.5,39.5,35,35,44,46
7,240,125,39,41,36,36,46,48
8,260,140,40.5,42.5,37,37,48,50
9,280,155,42,44,38,38,50,52
10,300,170,43.5,45.5,39,39,52,54
11,320,185,45,47,40,40,54,56
12,340,200,46.5,48.5,41,41,56,58
13,360,215,48,50,42,42,58,60
14,380,230,49.5,51.5,43,43,60,62
15,400,245,51,53,44,44,62,64
16,420,260,52.5,54.5,45,45,64,66
17,440,275,54,56,46,46,66,68
18,460,290,55.5,57.5,47,47,68,70
19,480,305,57,59,48,48,70,72
20,500,320,58.5,60.5,49,49,72,74
21,520,335,60,62,50,50,74,76
22,540,350,61.5,63.5,51,51,76,78
23,560,365,63,65,52,52,78,80
24,580,380,64.5,66.5,53,53,80,82
25,600,395,66,68,54,54,82,84
26,620,410,67.5,69.5,55,55,84,86
27,640,425,69,71,56,56,86,88
28,660,440,70.5,72.5,57,57,88,90
29,680,455,72,74,58,58,90,92
30,700,470,73.5,75.5,59,59,92,94
31,720,485,75,77,60,60,94,96
32,740,500,76.5,78.5,61,61,96,98
33,760,515,78,80,62,62,98,100
34,780,530,79.5,81.5,63,63,100,102
35,800,545,81,83,64,64,102,104
36,820,560,82.5,84.5,65,65,104,106
37,840,575,84,86,66,66,106,108
38,860,590,85.5,87.5,67,67,108,110
39,880,605,87,89,68,68,110,112
40,900,620,88.5,90.5,69,69,112,114
41,920,635,90,92,70,70,114,116
42,940,650,91.5,93.5,71,71,116,118
43,960,665,93,95,72,72,118,120
44,980,680,94.5,96.5,73,73,120,122
45,1000,695,96,98,74,74,122,124
46,1020,710,97.5,99.5,75,75,124,126
47,1040,725,99,101,76,76,126,128
48,1060,740,100.5,102.5,77,77,128,130
49,1080,755,102,104,78,78,130,132
50,1100,770,103.5,105.5,79,79,132,134
51,1120,785,105,107,80,80,134,136
52,1140,800,106.5,108.5,81,81,136,138
53,1160,815,108,110,82,82,138,140
54,1180,830,109.5,111.5,83,83,140,142
55,1200,845,111,113,84,84,142,144
56,1220,860,112.5,114.5,85,85,144,146
57,1240,875,114,116,86,86,146,148
58,1260,890,115.5,117.5,87,87,148,150
59,1280,905,117,119,88,88,150,152
60,1300,920,118.5,120.5,89,89,152,154
61,1320,935,120,122,90,90,154,156
62,1340,950,121.5,123.5,91,91,156,158
63,1360,965,123,125,92,92,158,160
64,1380,980,124.5,126.5,93,93,160,162
65,1400,995,126,128,94,94,162,164
66,1420,1010,127.5,129.5,95,95,164,166
67,1440,1025,129,131,96,96,166,168
68,1460,1040,130.5,132.5,97,97,168,170
69,1480,1055,132,134,98,98,170,172
70,1500,1070,133.5,135.5,99,99,172,174
71,1520,1085,135,137,100,100,174,176
72,1540,1100,136.5,138.5,101,101,176,178
73,1560,1115,138,140,102,102,178,180
74,1580,1130,139.5,141.5,103,103,180,182
75,1600,1145,141,143,104,104,182,184
76,1620,1160,142.5,144.5,105,105,184,186
77,1640,1175,144,146,106,106,186,188
78,1660,1190,145.5,147.5,107,107,188,190
79,1680,1205,147,149,108,108,190,192
80,1700,1220,148.5,150.5,109,109,192,194
81,1720,1235,150,152,110,110,194,196
82,1740,1250,151.5,153.5,111,111,196,198
83,1760,1265,153,155,112,112,198,200
84,1780,1280,154.5,156.5,113,113,200,202
85,1800,1295,156,158,114,114,202,204
86,1820,1310,157.5,159.5,115,115,204,206
87,1840,1325,159,161,116,116,206,208
88,1860,1340,160.5,162.5,117,117,208,210
89,1880,1355,162,164,118,118,210,212
90,1900,1370,163.5,165.5,119,119,212,214
91,1920,1385,165,167,120,120,214,216
92,1940,1400,166.5,168.5,121,121,216,218
93,1960,1415,168,170,122,122,218,220
94,1980,1430,169.5,171.5,123,123,220,222
95,2000,1445,171,173,124,124,222,224
96,2020,1460,172.5,174.5,125,125,224,226
97,2040,1475,174,176,126,126,226,228
98,2060,1490,175.5,177.5,127,127,228,230
99,2080,1505,177,179,128,128,230,232
100,2100,1520,178.5,180.5,129,129,232,234
101,2120,1535,180,182,130,130,234,236
102,2140,1550,181.5,183.5,131,131,236,238
103,2160,1565,183,185,132,132,238,240
104,2180,1580,184.5,186.5,133,133,240,242
105,2200,1595,186,188,134,134,242,244
106,2220,1610,187.5,189.5,135,135,244,246
107,2240,1625,189,191,136,136,246,248
108,2260,1640,190.5,192.5,137,137,248,250
109,2280,1655,192,194,138,138,250,252
110,2300,1670,193.5,195.5,139,139,252,254
